COUNTY;STATE;AporteMensual;Genero;Edad;FechaNacimiento
Caldas;Manizales;77322;1;66;1949
Caldas;Manizales;;2;67;1948
Caldas;Manizales;36000;1;42;1973
Caldas;Manizales;;1;52;1963
Caldas;Manizales;;2;54;1960
Caldas;Manizales;25774;1;23;1992
Caldas;Manizales;;2;26;1989
Caldas;Manizales;;2;6;2009
Caldas;Manizales;77322;1;66;1949
Caldas;Manizales;492000;2;60;1954
Caldas;Manizales;25774;1;48;1967
Caldas;Manizales;492000;1;63;1952
Caldas;Manizales;25774;1;22;1993
Caldas;Manizales;158400;1;62;1953
Caldas;Manizales;78840;2;59;1956
Caldas;Manizales;;2;30;1985
Caldas;Manizales;;2;11;2004
Caldas;Manizales;;1;4;2010
Caldas;Manizales;77322;2;57;1957
Caldas;Manizales;;1;91;1924
Caldas;Manizales;;2;73;1942
Caldas;Manizales;;2;23;1992
Caldas;Manizales;;2;3;2012
Valle del Cauca;Cali;200000;1;27;1988
Valle del Cauca;Cali;890000;2;81;1934
Valle del Cauca;Cali;200000;2;65;1950
Valle del Cauca;Cali;;2;57;1957
Valle del Cauca;Cali;;2;19;1996
Valle del Cauca;Cali;98;2;50;1965
Valle del Cauca;Cali;98;1;60;1955
Valle del Cauca;Cali;;1;61;1954
Valle del Cauca;Cali;;2;60;1955
Valle del Cauca;Cali;98;2;32;1983
Valle del Cauca;Cali;90000;2;29;1986
Valle del Cauca;Cali;82800;1;24;1991
Valle del Cauca;Cali;99;1;78;1937
Valle del Cauca;Cali;;2;94;1921
Valle del Cauca;Cali;;2;72;1943
Valle del Cauca;Cali;;1;53;1962
Valle del Cauca;Cali;;2;55;1960
Valle del Cauca;Cali;;2;28;1987
Valle del Cauca;Cali;;2;8;2007
Valle del Cauca;Cali;;2;51;1963
Valle del Cauca;Cali;;1;12;2003
Valle del Cauca;Cali;;2;42;1973
Valle del Cauca;Cali;;2;9;2006
Valle del Cauca;Cali;;1;63;1952
Valle del Cauca;Cali;77322;1;75;1940
Valle del Cauca;Cali;;2;19;1996
Valle del Cauca;Cali;;1;29;1985
Valle del Cauca;Cali;;1;63;1952
Valle del Cauca;Cali;120000;1;39;1976
Valle del Cauca;Cali;;2;39;1976
Valle del Cauca;Cali;;1;15;2000
Valle del Cauca;Cali;;2;6;2009
Valle del Cauca;Cali;;2;21;1994
Valle del Cauca;Cali;98000;1;49;1966
Valle del Cauca;Cali;;2;51;1964
Valle del Cauca;Cali;28000;2;29;1986
Valle del Cauca;Cali;;2;22;1992
Valle del Cauca;Cali;40000;1;22;1992
Valle del Cauca;Cali;;1;53;1962
Valle del Cauca;Cali;80500;2;42;1973
Valle del Cauca;Cali;;2;13;2002
Valle del Cauca;Cali;;2;11;2003
Valle del Cauca;Cali;;2;10;2005
Valle del Cauca;Cali;;1;10;2005
Valle del Cauca;Cali;100000;1;33;1982
Valle del Cauca;Cali;98;2;34;1981
Valle del Cauca;Cali;;1;2;2013
Valle del Cauca;Cali;87400;1;36;1979
Valle del Cauca;Cali;90000;2;38;1977
Valle del Cauca;Cali;;1;5;2010
Valle del Cauca;Cali;150000;2;62;1953
Valle del Cauca;Cali;271430;2;56;1959
Valle del Cauca;Cali;;1;76;1939
Valle del Cauca;Cali;;2;64;1951
Valle del Cauca;Cali;;1;21;1994
Valle del Cauca;Cali;;1;21;1994
Risaralda;Pereira;;1;24;1991
Risaralda;Pereira;160000;1;47;1968
Risaralda;Pereira;;2;39;1976
Risaralda;Pereira;;2;17;1998
Risaralda;Pereira;;2;14;2001
Risaralda;Pereira;;1;9;2006
Risaralda;Pereira;400000;1;51;1964
Risaralda;Pereira;80500;2;53;1962
Risaralda;Pereira;;1;15;2000
Risaralda;Pereira;80500;1;75;1940
Risaralda;Pereira;80500;1;55;1960
Risaralda;Pereira;;2;51;1964
Risaralda;Pereira;;1;17;1997
Risaralda;Pereira;;2;14;2001
Risaralda;Pereira;80500;1;46;1969
Risaralda;Pereira;164000;1;37;1978
Risaralda;Pereira;353200;2;42;1973
Risaralda;Pereira;;2;37;1978
Risaralda;Pereira;77000;2;66;1948
Risaralda;Pereira;240000;1;72;1943
